condition,n,files_gib,peak_working_set_mib,median_latency_seconds,median_characters_per_second,raw_editorial,release_adjusted,publishable,unsupported_claims,major_release_risks,factual_grounding,key_information_retention,title_quality,formality_objectivity,structure_formatting,conciseness_naturalness
lfm_f16,24,2.18239289522171,2653.3359375,33.70910705020651,15.22762532220671,85.95833333333333,59.75,0.4583333333333333,5.125,1.5,25.291666666666668,10.833333333333334,13.375,14.0,9.458333333333334,13.0
lfm_ptq,24,0.6479690670967102,1633.79296875,10.554781200131401,43.41720070135916,84.20833333333333,57.5,0.2916666666666667,4.375,2.0833333333333335,24.541666666666668,10.291666666666666,13.375,14.041666666666666,9.25,12.708333333333334
lfm_qad,24,0.6479727923870087,1633.6953125,11.163840549997985,45.14110431291015,83.83333333333333,52.333333333333336,0.25,5.166666666666667,2.6666666666666665,24.625,10.291666666666666,12.875,13.916666666666666,9.458333333333334,12.666666666666666
lfm_qad_final,24,,,,,99.91666666666667,99.91666666666667,1.0,0.0,0.0,30.0,15.0,15.0,14.958333333333334,10.0,14.958333333333334
