effective_batch,gradient_accumulation_steps,best_eval_loss,best_eval_epoch,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,source_run,source_file
4,4,1.6750569343566895,2.0,0.2083304779014128,0.5096506254091622,0.3657423368614222,0.3694609822303858,E06_batch4_run1,results/formal_experiments/E06/E06_batch4_run1/training.log; results/formal_experiments/E06/E06_batch4_run1/validation_metrics.json; results/formal_experiments/E06/E06_batch4_run1/run_manifest.json
8,8,1.6783924102783203,2.0,0.23721653014264463,0.5370162609391268,0.3883398897038982,0.393305221404832,E05_rank32_run1,results/formal_experiments/E05/E05_rank32_run1/training.log; results/formal_experiments/E05/E05_rank32_run1/validation_metrics.json; results/formal_experiments/E05/E05_rank32_run1/run_manifest.json
16,16,1.6891379356384277,2.02,0.23352890063725656,0.525422261554946,0.38259672582217397,0.39134533926957304,E07_batch16_run1,results/formal_experiments/E07/E07_batch16_run1/training.log; results/formal_experiments/E07/E07_batch16_run1/validation_metrics.json; results/formal_experiments/E07/E07_batch16_run1/run_manifest.json
