rank,best_eval_loss,best_eval_step,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,source_run,source_file
8,1.681091547012329,468,0.22943776731114762,0.5253454662393009,0.37997292487419215,0.383391568330929,E04_rank8_run1,results/formal_experiments/E04/E04_rank8_run1/training.log; results/formal_experiments/E04/E04_rank8_run1/validation_metrics.json; results/formal_experiments/E04/E04_rank8_run1/run_manifest.json
16,1.678865909576416,468,0.2217942111655732,0.517335632710507,0.3712963785312419,0.37898636038008404,E03_lr2e-4_run1,results/formal_experiments/E03/E03_lr2e-4_run1/training.log; results/formal_experiments/E03/E03_lr2e-4_run1/validation_metrics.json; results/formal_experiments/E03/E03_lr2e-4_run1/run_manifest.json
32,1.6783924102783203,468,0.23721653014264463,0.5370162609391268,0.3883398897038982,0.393305221404832,E05_rank32_run1,results/formal_experiments/E05/E05_rank32_run1/training.log; results/formal_experiments/E05/E05_rank32_run1/validation_metrics.json; results/formal_experiments/E05/E05_rank32_run1/run_manifest.json
